       Key |   Top Left   |   Top Right  |  Bottom Left | Bottom Right
-----------------------------------------------------------------------------
         ` | [ 788 1756] | [ 823 1756] | [ 792 1790] | [ 828 1790]
         1 | [ 742 1756] | [ 778 1756] | [ 746 1790] | [ 782 1789]
         6 | [ 513 1757] | [ 548 1756] | [ 514 1790] | [ 549 1789]
         7 | [ 467 1758] | [ 503 1756] | [ 467 1790] | [ 503 1789]
         9 | [ 376 1757] | [ 411 1756] | [ 375 1790] | [ 410 1789]
         - | [ 286 1756] | [ 321 1757] | [ 281 1789] | [ 316 1790]
         = | [ 240 1756] | [ 275 1756] | [ 235 1789] | [ 271 1789]
    DELETE | [ 171 1757] | [ 229 1756] | [ 165 1789] | [ 225 1789]
       TAB | [ 760 1718] | [ 817 1715] | [ 765 1748] | [ 823 1747]
         \ | [ 179 1716] | [ 214 1716] | [ 173 1747] | [ 209 1747]
    RETURN | [ 185 1679] | [ 253 1677] | [ 182 1708] | [ 250 1705]
         ] | [ 224 1716] | [ 258 1716] | [ 218 1747] | [ 253 1748]
         [ | [ 268 1716] | [ 303 1716] | [ 264 1748] | [ 298 1748]
         0 | [ 331 1757] | [ 366 1757] | [ 327 1789] | [ 362 1790]
         8 | [ 422 1757] | [ 458 1757] | [ 420 1789] | [ 455 1790]
         3 | [ 650 1757] | [ 686 1756] | [ 653 1790] | [ 689 1789]
         2 | [ 696 1757] | [ 732 1756] | [ 700 1790] | [ 735 1789]
         P | [ 313 1716] | [ 348 1716] | [ 309 1748] | [ 344 1748]
         Y | [ 491 1717] | [ 527 1716] | [ 491 1748] | [ 527 1747]
         T | [ 536 1717] | [ 572 1716] | [ 537 1748] | [ 572 1747]
         G | [ 525 1678] | [ 560 1677] | [ 526 1708] | [ 561 1707]
         I | [ 402 1716] | [ 437 1716] | [ 400 1748] | [ 436 1747]
         O | [ 357 1716] | [ 392 1716] | [ 355 1748] | [ 391 1746]
         U | [ 447 1716] | [ 482 1716] | [ 446 1748] | [ 481 1747]
         H | [ 482 1677] | [ 516 1677] | [ 482 1708] | [ 516 1707]
         4 | [ 605 1756] | [ 640 1756] | [ 607 1790] | [ 642 1789]
         5 | [ 559 1757] | [ 594 1756] | [ 560 1790] | [ 596 1789]
         Q | [ 716 1716] | [ 750 1715] | [ 718 1747] | [ 755 1747]
         E | [ 626 1716] | [ 662 1716] | [ 628 1748] | [ 663 1747]
         W | [ 671 1716] | [ 707 1716] | [ 674 1748] | [ 709 1747]
         ' | [ 262 1678] | [ 297 1677] | [ 258 1707] | [ 294 1706]
         R | [ 581 1716] | [ 617 1716] | [ 582 1748] | [ 618 1747]
 CAPS_LOCK | [ 745 1678] | [ 813 1677] | [ 750 1708] | [ 817 1708]
         F | [ 569 1678] | [ 604 1677] | [ 571 1708] | [ 605 1707]
         D | [ 614 1677] | [ 649 1678] | [ 614 1707] | [ 649 1708]
         B | [ 504 1641] | [ 539 1640] | [ 504 1669] | [ 539 1668]
         A | [ 702 1677] | [ 737 1677] | [ 704 1707] | [ 739 1707]
         S | [ 658 1677] | [ 693 1677] | [ 659 1707] | [ 695 1707]
     SHFT2 | [ 196 1639] | [ 280 1641] | [ 187 1667] | [ 275 1669]
         V | [ 547 1641] | [ 581 1639] | [ 548 1669] | [ 582 1669]
         Z | [ 677 1640] | [ 712 1640] | [ 679 1669] | [ 714 1669]
     SHFT1 | [ 719 1643] | [ 805 1638] | [ 723 1669] | [ 812 1669]
         J | [ 438 1678] | [ 472 1677] | [ 437 1708] | [ 472 1706]
         C | [ 591 1640] | [ 624 1639] | [ 591 1669] | [ 626 1669]
         ; | [ 307 1677] | [ 341 1677] | [ 303 1707] | [ 337 1708]
         K | [ 394 1677] | [ 428 1677] | [ 392 1708] | [ 427 1707]
         L | [ 351 1677] | [ 385 1677] | [ 348 1708] | [ 383 1706]
         X | [ 634 1640] | [ 669 1640] | [ 635 1669] | [ 670 1669]
      CTRL | [ 727 1599] | [ 761 1599] | [ 730 1632] | [ 765 1631]
      ALT1 | [ 685 1599] | [ 719 1599] | [ 687 1632] | [ 722 1632]
         / | [ 289 1640] | [ 325 1640] | [ 286 1669] | [ 320 1669]
        FN | [ 769 1599] | [ 803 1599] | [ 773 1632] | [ 808 1632]
         N | [ 460 1640] | [ 495 1639] | [ 459 1669] | [ 494 1668]
      CMD1 | [ 629 1598] | [ 674 1598] | [ 630 1631] | [ 674 1632]
         M | [ 416 1641] | [ 451 1639] | [ 415 1669] | [ 450 1668]
         , | [ 383 1640] | [ 418 1639] | [ 381 1669] | [ 416 1669]
         . | [ 334 1640] | [ 369 1639] | [ 332 1669] | [ 366 1669]
    ARROWS | [ 245 1597] | [ 278 1597] | [ 238 1631] | [ 272 1631]
      CMD2 | [ 379 1598] | [ 424 1598] | [ 376 1631] | [ 421 1631]
      ALT2 | [ 331 1597] | [ 365 1598] | [ 326 1631] | [ 360 1631]
     SPACE | [ 418 1602] | [ 619 1596] | [ 420 1631] | [ 623 1630]
